Districts;RegisteredVoter/District;Voter Percentage;Index
Akkar;276938;0.076273495;0.716992189
Minieh-Dinnieh;110104;0.030324538;0.772888942
Tripoli;232940;0.064155688;0.974192657
Zghorta;77352;0.021304073;1.100141742
Bcharre;49084;0.013518579;1.15581675
Koura;60169;0.016571579;1.414319069
Batroun;60039;0.016535775;0.944920958
Jbeil;81494;0.022444851;1.044226128
Keserwan;93540;0.025762527;1.516252656
Metn;178265;0.049097251;1.27298369
Baabda;164222;0.045229567;1.036379584
Aley;125799;0.034647211;1.127435619
Chouf;199565;0.054963638;1.137115414
Beirut-One;92604;0.025504736;1.531578263
Beirut-Two;108574;0.02990315;1.045040422
Beirut-Three;279905;0.077090658;1.01341722
Baalbeck-Hermel;257693;0.07097309;1.100769314
Zahleh;172555;0.047524619;1.150719381
WestBekaa-Rachaya;140853;0.038793342;1.208325901
Saida;61606;0.016967353;0.920886105
Zahrany;111080;0.030593345;0.766097984
Jezzine;59162;0.016294234;1.43839228
Marjaayoun-Hasbaya;159757;0.043999829;0.887787536
Nabatieh;144587;0.03982175;0.588560272
Tyre-Sour;186618;0.051397811;0.608002544
BintJbeil;146350;0.040307311;0.581470202
