ISO,NAME_0,ID_1,ID_2,GOVERNORAT,district,diff_voter_registration,registered_female,registered_female_pct,registered_male,registered_male_pct,total_registered
LBN,Lebanon,1,1,An Nabatiyah,Bent Jbayl,-1.143697527,70837,50.5718487635,69235,49.4281512365,140072
LBN,Lebanon,1,4,An Nabatiyah,Nabatiyeh,-0.4086229551,69540,50.2043114775,68974,49.7956885225,138514
LBN,Lebanon,2,53,Beirut,Beirut-three,-4.3243342584,141915,52.1621671292,130150,47.8378328708,272065
LBN,Lebanon,3,10,Beqaa,Zahleh,-2.225601245,86053,51.1128006225,82306,48.8871993775,168359
LBN,Lebanon,4,11,Mount Lebanon,Aley,-2.2138102287,63185,51.1069051143,60448,48.8930948857,123633
LBN,Lebanon,4,12,Mount Lebanon,Baabda,-2.5589657125,82421,51.2794828562,78308,48.7205171438,160729
LBN,Lebanon,4,13,Mount Lebanon,Chouf,-2.5805787252,99616,51.2902893626,94604,48.7097106374,194220
LBN,Lebanon,4,14,Mount Lebanon,Jbayl,-2.4819534241,40816,51.2409767121,38839,48.7590232879,79655
LBN,Lebanon,4,15,Mount Lebanon,Kesrouan,-2.533888448,47162,51.266944224,44831,48.733055776,91993
LBN,Lebanon,4,16,Mount Lebanon,Matn,-3.0938742541,90619,51.5469371271,85180,48.4530628729,175799
LBN,Lebanon,5,17,North Lebanon,Akkar,0.3593296565,131161,49.8203351718,132107,50.1796648282,263268
LBN,Lebanon,5,18,North Lebanon,Batroun,-2.250497559,30055,51.1252487795,28732,48.8747512205,58787
LBN,Lebanon,5,19,North Lebanon,Bcharreh,0.3489788754,24129,49.8255105623,24298,50.1744894377,48427
LBN,Lebanon,5,20,North Lebanon,Koura,-0.468055626,29729,50.234027813,29452,49.765972187,59181
LBN,Lebanon,5,21,North Lebanon,Miniyeh-Danniyeh,0.5375676395,56062,49.7312161803,56668,50.2687838197,112730
LBN,Lebanon,5,22,North Lebanon,Tripoli,-3.6705834384,111873,51.8352917192,103951,48.1647082808,215824
LBN,Lebanon,5,23,North Lebanon,Zgharta,0.0039720895,37762,49.9980139553,37765,50.0019860447,75527
LBN,Lebanon,6,24,South Lebanon,Jezzine,-2.6340921325,29554,51.3170460662,28037,48.6829539338,57591
LBN,Lebanon,6,251,South Lebanon,Saida,-6.2671031646,31649,53.1335515823,27916,46.8664484177,59565
LBN,Lebanon,6,26,South Lebanon,Sour,0,89363,50,89363,50,178726
LBN,Lebanon,6,252,South Lebanon,Zahrany,0.4115381002,52996,49.7942309499,53434,50.2057690501,106430
LBN,Lebanon,2,52,Beirut,Beirut-two,-4.0585970514,55406,52.0292985257,51084,47.9707014743,106490
LBN,Lebanon,2,51,Beirut,Beirut-one,-4.6371405023,48244,52.3185702512,43968,47.6814297488,92212
LBN,Lebanon,3,6,Beqaa,Baalbek-Hermel,-1.9235026937,151918,50.9617513469,146184,49.0382486531,298102
LBN,Lebanon,3,7,Beqaa,WestBekaa-Rachaya,0.245382547,67890,49.8773087265,68224,50.1226912735,136114
LBN,Lebanon,1,2,An Nabatiyah,Marjayoun-Hasbaya,-1.2482897909,77703,50.6241448954,75787,49.3758551046,153490
