"Year","Confession","Gender","Town","District","Governorate"
"1960-1964","ماروني","ذكر","الديمان","بشري","الشمال"
"1965-1969","ماروني","ذكر","الديمان","بشري","الشمال"
"1935-1939","ماروني","ذكر","الديمان","بشري","الشمال"
"1940-1944","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1970-1974","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1955-1959","ماروني","ذكر","الديمان","بشري","الشمال"
"1930-1934","ماروني","ذكر","الديمان","بشري","الشمال"
"1935-1939","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1930-1934","ماروني","ذكر","الديمان","بشري","الشمال"
"1965-1969","ماروني","ذكر","الديمان","بشري","الشمال"
"1970-1974","ماروني","ذكر","الديمان","بشري","الشمال"
"1915-1919","ماروني","ذكر","الديمان","بشري","الشمال"
"1940-1944","ماروني","ذكر","الديمان","بشري","الشمال"
"1915-1919","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1915-1919","ماروني","ذكر","الديمان","بشري","الشمال"
"1930-1934","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1940-1944","ماروني","ذكر","الديمان","بشري","الشمال"
"1970-1974","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1945-1949","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1970-1974","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1930-1934","ماروني","ذكر","الديمان","بشري","الشمال"
"1945-1949","ماروني","ذكر","الديمان","بشري","الشمال"
"1945-1949","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1955-1959","ماروني","ذكر","الديمان","بشري","الشمال"
"1960-1964","ماروني","ذكر","الديمان","بشري","الشمال"
"1975-1979","ماروني","ذكر","الديمان","بشري","الشمال"
"1945-1949","ماروني","ذكر","الديمان","بشري","الشمال"
"1940-1944","ماروني","ذكر","الديمان","بشري","الشمال"
"1965-1969","ماروني","ذكر","الديمان","بشري","الشمال"
"1970-1974","ماروني","ذكر","الديمان","بشري","الشمال"
"1910-1914","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1920-1924","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1950-1954","ماروني","ذكر","الديمان","بشري","الشمال"
"1960-1964","ماروني","ذكر","الديمان","بشري","الشمال"
"1965-1969","ماروني","ذكر","الديمان","بشري","الشمال"
"1925-1929","ماروني","ذكر","الديمان","بشري","الشمال"
"1940-1944","ماروني","ذكر","الديمان","بشري","الشمال"
"1965-1969","ماروني","ذكر","الديمان","بشري","الشمال"
