"","Year","Confession","District","Population"
"243",2005,"Sunni","Beirut",180934
"244",2005,"Shia","Beirut",56871
"245",2005,"Minorities","Beirut",21111
"246",2005,"Maronite","Beirut",24376
"247",2005,"Greek Orthodox","Beirut",41657
"248",2005,"Greek Catholic","Beirut",19272
"249",2005,"Evangelical","Beirut",7161
"250",2005,"Druze","Beirut",4793
"251",2005,"Armenian Orthodox","Beirut",48169
"252",2005,"Armenian Catholic","Beirut",9056
"253",2005,"Alawite","Beirut",97
"496",2009,"Sunni","Beirut",199858
"497",2009,"Shia","Beirut",63928
"498",2009,"Minorities","Beirut",21612
"499",2009,"Maronite","Beirut",24700
"500",2009,"Greek Orthodox","Beirut",42365
"501",2009,"Greek Catholic","Beirut",19688
"502",2009,"Evangelical","Beirut",4225
"503",2009,"Druze","Beirut",5154
"504",2009,"Armenian Orthodox","Beirut",47912
"505",2009,"Armenian Catholic","Beirut",11761
"506",2009,"Alawite","Beirut",122
"749",2013,"Sunni","Beirut",207835
"750",2013,"Shia","Beirut",71913
"751",2013,"Minorities","Beirut",31458
"752",2013,"Maronite","Beirut",28429
"753",2013,"Greek Orthodox","Beirut",39472
"754",2013,"Greek Catholic","Beirut",19701
"755",2013,"Evangelical","Beirut",3754
"756",2013,"Druze","Beirut",5175
"757",2013,"Armenian Orthodox","Beirut",45210
"758",2013,"Armenian Catholic","Beirut",8335
"759",2013,"Alawite","Beirut",162
