"","Year","Confession","District","Population"
"221",2005,"Sunni","Bent.Jbel",187
"222",2005,"Shia","Bent.Jbel",94946
"223",2005,"Minorities","Bent.Jbel",0
"224",2005,"Maronite","Bent.Jbel",10756
"225",2005,"Greek Orthodox","Bent.Jbel",0
"226",2005,"Greek Catholic","Bent.Jbel",2853
"227",2005,"Evangelical","Bent.Jbel",40
"228",2005,"Druze","Bent.Jbel",0
"229",2005,"Armenian Orthodox","Bent.Jbel",45
"230",2005,"Armenian Catholic","Bent.Jbel",16
"231",2005,"Alawite","Bent.Jbel",0
"474",2009,"Sunni","Bent.Jbel",191
"475",2009,"Shia","Bent.Jbel",108407
"476",2009,"Minorities","Bent.Jbel",1
"477",2009,"Maronite","Bent.Jbel",11660
"478",2009,"Greek Orthodox","Bent.Jbel",4
"479",2009,"Greek Catholic","Bent.Jbel",3020
"480",2009,"Evangelical","Bent.Jbel",42
"481",2009,"Druze","Bent.Jbel",1
"482",2009,"Armenian Orthodox","Bent.Jbel",47
"483",2009,"Armenian Catholic","Bent.Jbel",21
"484",2009,"Alawite","Bent.Jbel",0
"727",2013,"Sunni","Bent.Jbel",1812
"728",2013,"Shia","Bent.Jbel",116201
"729",2013,"Minorities","Bent.Jbel",550
"730",2013,"Maronite","Bent.Jbel",11900
"731",2013,"Greek Orthodox","Bent.Jbel",271
"732",2013,"Greek Catholic","Bent.Jbel",3040
"733",2013,"Evangelical","Bent.Jbel",68
"734",2013,"Druze","Bent.Jbel",13
"735",2013,"Armenian Orthodox","Bent.Jbel",66
"736",2013,"Armenian Catholic","Bent.Jbel",45
"737",2013,"Alawite","Bent.Jbel",8
