"","Year","Confession","District","Population"
"144",2005,"Sunni","Jbeil",1660
"145",2005,"Shia","Jbeil",13200
"146",2005,"Minorities","Jbeil",159
"147",2005,"Maronite","Jbeil",51508
"148",2005,"Greek Orthodox","Jbeil",2389
"149",2005,"Greek Catholic","Jbeil",439
"150",2005,"Evangelical","Jbeil",76
"151",2005,"Druze","Jbeil",0
"152",2005,"Armenian Orthodox","Jbeil",1006
"153",2005,"Armenian Catholic","Jbeil",43
"154",2005,"Alawite","Jbeil",10
"397",2009,"Sunni","Jbeil",1894
"398",2009,"Shia","Jbeil",14625
"399",2009,"Minorities","Jbeil",179
"400",2009,"Maronite","Jbeil",54581
"401",2009,"Greek Orthodox","Jbeil",2536
"402",2009,"Greek Catholic","Jbeil",501
"403",2009,"Evangelical","Jbeil",107
"404",2009,"Druze","Jbeil",0
"405",2009,"Armenian Orthodox","Jbeil",1041
"406",2009,"Armenian Catholic","Jbeil",44
"407",2009,"Alawite","Jbeil",4
"650",2013,"Sunni","Jbeil",2558
"651",2013,"Shia","Jbeil",15289
"652",2013,"Minorities","Jbeil",1014
"653",2013,"Maronite","Jbeil",52719
"654",2013,"Greek Orthodox","Jbeil",3560
"655",2013,"Greek Catholic","Jbeil",1460
"656",2013,"Evangelical","Jbeil",134
"657",2013,"Druze","Jbeil",8
"658",2013,"Armenian Orthodox","Jbeil",1034
"659",2013,"Armenian Catholic","Jbeil",116
"660",2013,"Alawite","Jbeil",8
