"","Year","Confession","District","Population"
"166",2005,"Sunni","Kesrwan",239
"167",2005,"Shia","Kesrwan",1302
"168",2005,"Minorities","Kesrwan",1287
"169",2005,"Maronite","Kesrwan",77356
"170",2005,"Greek Orthodox","Kesrwan",993
"171",2005,"Greek Catholic","Kesrwan",2820
"172",2005,"Evangelical","Kesrwan",125
"173",2005,"Druze","Kesrwan",3
"174",2005,"Armenian Orthodox","Kesrwan",1509
"175",2005,"Armenian Catholic","Kesrwan",662
"176",2005,"Alawite","Kesrwan",8
"419",2009,"Sunni","Kesrwan",330
"420",2009,"Shia","Kesrwan",1465
"421",2009,"Minorities","Kesrwan",1420
"422",2009,"Maronite","Kesrwan",79221
"423",2009,"Greek Orthodox","Kesrwan",1126
"424",2009,"Greek Catholic","Kesrwan",3041
"425",2009,"Evangelical","Kesrwan",102
"426",2009,"Druze","Kesrwan",5
"427",2009,"Armenian Orthodox","Kesrwan",1519
"428",2009,"Armenian Catholic","Kesrwan",745
"429",2009,"Alawite","Kesrwan",9
"672",2013,"Sunni","Kesrwan",506
"673",2013,"Shia","Kesrwan",1575
"674",2013,"Minorities","Kesrwan",2852
"675",2013,"Maronite","Kesrwan",75115
"676",2013,"Greek Orthodox","Kesrwan",3342
"677",2013,"Greek Catholic","Kesrwan",4580
"678",2013,"Evangelical","Kesrwan",190
"679",2013,"Druze","Kesrwan",26
"680",2013,"Armenian Orthodox","Kesrwan",1589
"681",2013,"Armenian Catholic","Kesrwan",791
"682",2013,"Alawite","Kesrwan",9
