"","Year","Confession","District","Population"
"232",2005,"Sunni","Marjayoun.Hasbaya",20821
"233",2005,"Shia","Marjayoun.Hasbaya",69161
"234",2005,"Minorities","Marjayoun.Hasbaya",282
"235",2005,"Maronite","Marjayoun.Hasbaya",6030
"236",2005,"Greek Orthodox","Marjayoun.Hasbaya",10319
"237",2005,"Greek Catholic","Marjayoun.Hasbaya",3550
"238",2005,"Evangelical","Marjayoun.Hasbaya",1246
"239",2005,"Druze","Marjayoun.Hasbaya",12817
"240",2005,"Armenian Orthodox","Marjayoun.Hasbaya",66
"241",2005,"Armenian Catholic","Marjayoun.Hasbaya",34
"242",2005,"Alawite","Marjayoun.Hasbaya",0
"485",2009,"Sunni","Marjayoun.Hasbaya",23336
"486",2009,"Shia","Marjayoun.Hasbaya",78725
"487",2009,"Minorities","Marjayoun.Hasbaya",300
"488",2009,"Maronite","Marjayoun.Hasbaya",6358
"489",2009,"Greek Orthodox","Marjayoun.Hasbaya",10785
"490",2009,"Greek Catholic","Marjayoun.Hasbaya",3644
"491",2009,"Evangelical","Marjayoun.Hasbaya",1254
"492",2009,"Druze","Marjayoun.Hasbaya",14333
"493",2009,"Armenian Orthodox","Marjayoun.Hasbaya",61
"494",2009,"Armenian Catholic","Marjayoun.Hasbaya",30
"495",2009,"Alawite","Marjayoun.Hasbaya",0
"738",2013,"Sunni","Marjayoun.Hasbaya",25385
"739",2013,"Shia","Marjayoun.Hasbaya",83820
"740",2013,"Minorities","Marjayoun.Hasbaya",945
"741",2013,"Maronite","Marjayoun.Hasbaya",7226
"742",2013,"Greek Orthodox","Marjayoun.Hasbaya",9822
"743",2013,"Greek Catholic","Marjayoun.Hasbaya",3844
"744",2013,"Evangelical","Marjayoun.Hasbaya",1227
"745",2013,"Druze","Marjayoun.Hasbaya",15082
"746",2013,"Armenian Orthodox","Marjayoun.Hasbaya",101
"747",2013,"Armenian Catholic","Marjayoun.Hasbaya",51
"748",2013,"Alawite","Marjayoun.Hasbaya",7
