code	district_n	sunni_2005	sunni_2009	sunni_2013	shia_2005	shia_2009	shia_2013	druze_2005	druze_2009	druze_2013	evang_2005	evang_2009	evang_2013	alawite_2005	alawite_2009	alawite_2013	grkorth_2005	grkorth_2009	grkorth_2013	maronite_2005	maronite_2009	maronite_2013	grkcth_2005	grkcth_2009	grkcth_2013	minorities_2005	minorities_2009	minorities_2013	armorth_2005	armorth_2009	armorth_2013	armcth_2005	armcth_2009	armcth_2013	total_2005	total_2009	total_2013	sunni_diff_1	sunni_diff_2	shia_diff_1	shia_diff_2	druze_diff_1	druze_diff_2	evang_diff_1	evang_diff_2	alawite_diff_1	alawite_diff_2	grkorth_diff_1	grkorth_diff_2	maronite_diff_1	maronite_diff_2	grkcth_diff_1	grkcth_diff_2	minorities_diff_1	minorities_diff_2	armorth_diff_1	armorth_diff_2	armcth_diff_1	armcth_diff_2	armorth_2014	armcth_2014	evang_2014	druze_2014	grkorth_2014	grkcth_2014	sunni_2014	shia_2014	alawite_2014	maronite_2014	minorities_2014	total_2014	armorth_diff_3	armcth_diff_3	evang_diff_3	druze_diff_3	grkorth_diff_3	grkcth_diff_3	sunni_diff_3	shia_diff_3	alawite_diff_3	maronite_diff_3	minorities_diff_3	sunni_2015	shia_2015	alawite_2015	druze_2015	grkorth_2015	grkcth_2015	maronite_2015	armorth_2015	armcth_2015	evang_2015	minorities_2015	total_2015	armorth_diff_4	armcth_diff_4	evang_diff_4	druze_diff_4	grkorth_diff_4	grkcth_diff_4	sunni_diff_4	shia_diff_4	alawite_diff_4	maronite_diff_4	minorities_diff_4	sunni_2016	shia_2016	alawite_2016	druze_2016	grkorth_2016	grkcth_2016	maronite_2016	armorth_2016	armcth_2016	evang_2016	minorities_2016	total_2016	armorth_diff_5	armcth_diff_5	evang_diff_5	druze_diff_5	grkorth_diff_5	grkcth_diff_5	sunni_diff_5	shia_diff_5	alawite_diff_5	maronite_diff_5	minorities_diff_5	sunni_2017	shia_2017	alawite_2017	druze_2017	grkorth_2017	grkcth_2017	maronite_2017	armorth_2017	armcth_2017	evang_2017	minorities_2017	total_2017	armorth_diff_6	armcth_diff_6	evang_diff_6	druze_diff_6	grkorth_diff_6	grkcth_diff_6	sunni_diff_6	shia_diff_6	alawite_diff_6	maronite_diff_6	minorities_diff_6	armorth_diff_7	armcth_diff_7	evang_diff_7	druze_diff_7	grkorth_diff_7	grkcth_diff_7	sunni_diff_7	shia_diff_7	alawite_diff_7	maronite_diff_7	minorities_diff_7
23	Zgharta	7203	8312	9054	58	68	141	0	0	7	46	43	87	14	20	67	2337	2200	4177	56883	60086	58749	157	179	822	21	17	427	35	35	124	58	74	162	66812	71034	73817	0.920441322	0.5640285566	0.0089180534	0.0952841044	0	0.0094829104	-0.0083155152	0.0573246378	0.0072012116	0.0626094688	-0.4007662063	2.5614797032	-0.5512349578	-5.0003043206	0.0170042771	0.8615726222	-0.0074992779	0.5545253354	-0.0031136194	0.1187108054	0.0173647127	0.1152861764	127	162	85	8	4242	831	9280	141	69	59378	354	74677	0.0020827649	-0.0025273781	-0.0040354964	0.0012298927	0.0218757343	-0.0007722	0.1613843368	-0.002199755	0.0016329271	-0.0742548283	-0.104415998	9502	149	70	9	4289	844	59835	127	163	86	453	75527	-0.0019139631	-0.0011174	4.30309247322026E-005	0.0012034652	-0.0016999786	0.0046887396	0.15407968	0.0084672874	0.0002841601	-0.28977899	0.12574397	9727	152	75	10	4342	855	60472	131	165	90	466	76485	0.003124	-0.000088	0.003804	0.001158	-0.001834	0.000385	0.136595	0.001451	0.005376	-0.159455	0.009484	9969	151	76	11	4374	871	61036	135	167	92	470	77352	0.003251	0.000168	0.001267	0.001146	-0.022261	0.008155	0.170311	-0.00352	0.000194	-0.157053	-0.001658	0.006544	-0.003565	0.001078	0.004738	-0.003919	0.012457	0.62237	0.004199	0.007487	-0.680542	0.029154
17	Akkar	127074	143428	165787	1843	2179	2915	0	1	11	686	666	781	9661	10744	12182	35515	35948	36407	27085	28176	29259	2152	2228	3242	32	61	881	50	50	158	19	27	64	204117	223508	251687	1.9158337034	1.699002337	0.0719956504	0.183275395	0.0004474113	0.0039230965	-0.0381058457	0.0123301434	0.0739170155	0.0331519692	-1.3157940614	-1.6183517286	-0.663090243	-0.9811067142	-0.0574649621	0.2912755201	0.0116148049	0.322745856	-0.002125191	0.040405821	0.0027717177	0.0133483046	162	65	779	13	36665	3292	170566	3012	12520	29537	801	257412	0.000157744	-0.0001770611	-0.0076783606	0.0006797618	-0.221486203	-0.0092241909	0.3915609663	0.0119240491	0.0236593698	-0.1505524357	-0.0388636397	175181	3104	12927	13	36887	3338	29875	169	64	782	928	263268	0.0012590126	-0.0009415193	-0.0055919739	-0.0001123356	-0.23250499	-0.01097415	0.27907114	0.0089180756	0.0464074565	-0.12684893	0.04131821	180702	3206	13343	16	37139	3360	30165	168	66	790	955	269910	-0.00195	0.000143	-0.004346	0.00099	-0.251426	-0.02305	0.408044	0.008777	0.033294	-0.171805	0.001329	186367	3300	13716	16	37517	3406	30574	172	67	802	1001	276938	-0.000135	-0.000259	-0.003095	-0.00015	-0.212696	-0.014981	0.346585	0.003799	0.009233	-0.135931	0.007631	-0.000669	-0.001235	-0.020711	0.001407	-0.918113	-0.05823	1.425261	0.033418	0.112594	-0.585137	0.011415
18	Batroun	2864	3197	3462	839	958	952	0	2	7	11	5	62	39	38	45	8919	9232	9825	41046	42882	40420	1556	1594	1940	172	224	755	175	202	253	54	58	99	55675	58392	57820	0.3309249786	0.512482484	0.1336756676	0.0058534006	0.0034251267	0.0086814108	-0.0111947045	0.0986665156	-0.0049719859	0.0127503334	-0.2093725371	1.1820051922	-0.2861505593	-3.5315355008	-0.0649651954	0.6254143977	0.0746784057	0.9221623542	0.0316135967	0.0916270568	0.0023372068	0.0718923556	255	99	62	8	9890	1942	3536	980	45	40760	608	58185	0.0006924264	-0.0010740857	-0.0006726597	0.0016427106	0.0051177724	-0.0176104279	0.0896200935	0.0377937867	-0.0004882208	0.1458122979	-0.2608336932	3603	983	45	8	9932	1965	41039	256	98	67	791	58787	-0.0027868557	-0.0034434222	0.0074141	-0.0001408	-0.10261622	0.0049457662	0.0517384	-0.01214449	-0.0007919845	-0.24276721	0.30059272	3684	1007	42	9	9987	1964	41443	255	100	71	800	59362	-0.005903	0.001754	0.005634	0.001553	-0.070998	-0.034062	0.077084	0.024233	-0.005795	0.004371	0.002128	3760	1035	42	12	10057	1993	41883	263	101	74	819	60039	0.008481	-0.000234	0.003648	0.004826	-0.073115	0.010995	0.056606	0.027508	-0.000798	-0.054366	0.01645	0.000484	-0.002997	0.016024	0.00788	-0.241612	-0.035731	0.275048	0.07739	-0.007873	-0.14695	0.058337
20	Koura	6737	7407	7942	1008	1125	1145	2	1	9	155	166	223	238	428	452	36625	37341	34699	10733	11007	12516	184	182	685	66	71	531	50	50	104	1	0	27	55799	57778	58333	0.7460653086	0.7951765569	0.1406239086	0.0157604635	-0.0018535311	0.013697897	0.0095238313	0.0949813115	0.3142354403	0.034095189	-1.0089717386	-5.1440653649	-0.1846080884	2.4056189545	-0.0147562251	0.8592936361	0.0046024531	0.7874067732	-0.0030692119	0.0917486044	-0.0017921468	0.0462859788	103	28	225	11	34859	691	8123	1158	445	12597	436	58676	-0.0027464781	0.0014337022	0.0011738232	0.0033183579	-0.0750413898	0.0033611306	0.2288853588	0.0106813033	-0.0164594982	0.0126210026	-0.1672273124	8287	1171	463	11	34956	694	12707	100	28	229	535	59181	-0.0065671	-0.0004072	0.0034867919	-0.000159971	-0.34304415	-0.004979893	0.15898465	0.0051259259	0.0239436129	0.0026745827	0.16094275	8420	1187	465	11	35083	702	12835	100	30	225	539	59597	-0.001179	0.003026	-0.009413	-0.00013	-0.199197	0.005238	0.125423	0.013035	-0.002105	0.064901	0.000402	8623	1202	479	11	35261	714	12976	99	30	229	545	60169	-0.003257	-0.000479	0.003059	-0.000175	-0.26379	0.008746	0.203072	0.005995	0.01585	0.029604	0.001374	-0.01375	0.003574	-0.001693	0.002853	-0.881072	0.012365	0.716365	0.034838	0.021229	0.1098	-0.004509
21	Minniye-Danniyeh	73166	82868	91496	54	58	276	0	0	2	0	1	39	16	17	65	7479	7961	7740	5967	6354	7000	57	57	168	5	5	443	0	0	17	3	2	6	86747	97323	107252	0.8032686107	0.1619690752	-0.0026546234	0.1977424905	0	0.0018647671	0.0010275063	0.0353354519	-0.000976834	0.0431373226	-0.4416457912	-0.9633293708	-0.3498487294	-0.0020904981	-0.0071404626	0.098072574	-0.0006263564	0.4079083788	0	0.0158505203	-0.0014033202	0.0035392886	16	6	39	2	7853	172	93969	293	69	7138	428	109985	-0.001303082	-0.0001390119	-0.0009035774	-4.63373047104928E-005	-0.0765840863	-0.000255474	0.1286494143	0.0090621051	0.0021308972	-0.0367089113	-0.0239019364	96489	295	73	2	7937	174	7237	16	6	38	463	112730	-0.0003542333	-0.0001328375	-0.0017505189	-4.42791604917972E-005	-0.0993478	-0.0020338572	0.15499557	-0.0047127464	0.0020206702	-0.07021187	0.0215719	99188	303	71	3	8074	177	7338	15	6	38	450	115663	-0.001224	-0.000135	-0.000855	0.00082	-0.060092	-0.00132	0.163023	0.000281	-0.003371	-0.075471	-0.021655	93519	285	29	3	8159	175	7441	15	6	39	433	110104	0.000655	0.000262	0.002567	0.000131	0.429642	0.00591	-0.819064	-0.003122	-0.035046	0.413863	0.004203	-0.002227	-0.000145	-0.000942	0.00086	0.193618	0.0023	-0.372396	0.001508	-0.034266	0.231471	-0.019781
19	Bcharry	5	19	93	0	0	22	0	0	0	0	0	54	0	0	7	258	220	1280	43417	46003	45055	91	102	521	29	32	382	23	25	73	0	0	21	43823	46401	47508	0.0295378596	0.1548091108	0	0.0463079902	0	0	0	0.1136650669	0	0.0147343605	-0.1146042316	2.2201553554	0.0687140102	-4.3056007761	0.0121693334	0.8768345564	0.0027887349	0.7351110722	0.0013942937	0.0997801821	0	0.0442030816	74	22	54		1304	536	95	25	6	45451	330	47897	0.0008398628	0.0017288139	-0.0009231416	0	0.0282256485	0.022410595	0.002585772	0.0058873456	-0.0022074799	0.0565492539	-0.1150966703	100	26	6	0	1336	547	45863	76	24	54	395	48427	0.0024390517	0.0036272347	-0.0012338823	0	0.03628287	0.01046718	0.0081541	0.0014937219	-0.000137098	-0.18777542	0.12668225	106	27	6	0	1353	550	46200	79	26	54	399	48800	0.004948	0.00372	-0.000852	0	0.013749	-0.002486	0.010717	0.001639	-0.000095	-0.033302	0.001962	109	27	6	0	1378	555	46449	82	26	54	398	49084	0.005175	-0.000308	-0.00064	0	0.034891	0.003666	0.004855	-0.00032	-0.000071	-0.040479	-0.006768	0.013402	0.008767	-0.00365	0	0.113149	0.034057	0.026312	0.0087	-0.00251	-0.205007	0.00678
22	Tripoli	139018	157634	167599	1282	1539	2579	6	22	34	564	460	479	13167	15224	14565	12042	12432	11929	4261	4339	5166	1187	1281	1456	871	885	2201	1887	1924	1783	261	352	266	174546	196092	208057	0.7422968913	0.166590147	0.0503588179	0.4547284685	0.0077817344	0.005122452	-0.0885402234	-0.0043583959	0.2201325754	-0.7632173079	-0.5591596603	-0.6063563327	-0.2284534093	0.2702365373	-0.0267851641	0.0465434316	-0.0476900885	0.6065644075	-0.0999182687	-0.124195409	0.0299767954	-0.0516579984	1773	268	479	35	11922	1465	171289	2604	14862	5190	1874	211761	-0.0197120418	-0.0012918094	-0.004026968	0.0001863914	-0.1035930903	-0.0079905633	0.3335204475	-0.0098759717	0.0178040428	-0.0320971923	-0.172923245	174677	2624	15111	34	11971	1476	5212	1755	264	476	2224	215824	-0.02410208	-0.0042358784	-0.0056483251	-0.00077449	-0.08328274	-0.0079270849	0.0470407	-0.01388272	-0.0167511963	-0.03594554	0.14550934	178565	2665	15488	33	12023	1472	5230	1751	263	477	2221	220188	-0.017933	-0.002879	-0.003917	-0.000766	-0.086315	-0.015371	0.16168	-0.005476	0.032451	-0.039688	-0.021786	190807	2747	15834	33	12066	1478	5238	1753	265	476	2243	232940	-0.042675	-0.00568	-0.012289	-0.00082	-0.280459	-0.034021	0.815901	-0.031056	-0.236531	-0.126595	-0.045775	-0.104422	-0.014086	-0.025881	-0.002175	-0.55365	-0.06531	1.358142	-0.060291	-0.203027	-0.234326	-0.094974
6	Baalbek-Hermel	30996	33845	40136	165840	184414	204300	0	1	31	33	35	98	96	84	107	2069	2063	2644	19005	20084	21666	15032	14922	14921	45	63	1409	157	136	210	4	4	45	233277	255651	285567	-0.0484566452	0.8160940064	1.0436099023	-0.5931792845	0.0003911583	0.0104644378	-0.0004557334	0.0206271517	-0.0082954989	0.0046120217	-0.0799689278	0.118917802	-0.2909444425	-0.2690113639	-0.6069779051	-0.6118200267	0.0053525988	0.4687613796	-0.0141044397	0.0203403856	-0.0001500667	0.0141934903	212	45	102	34	2669	15002	41084	209463	108	21991	1395	292105	-0.0009612668	-0.000352704	0.0006012596	0.0007840541	-0.0121647549	-0.0892190632	0.0099601911	0.1662388169	-0.0004963092	-0.0585538714	-0.0158363521	41772	214244	108	34	2691	15146	22273	209	45	102	1478	298102	-0.0024664112	-0.0003099151	-0.0007024741	-0.000234158	-0.01100138	-0.05501318	-0.05215208	0.1612415	-0.0007437961	-0.05685355	0.01823545	42392	218327	110	34	2666	15260	22431	210	46	107	1519	303102	-0.000827	0.000081	0.001085	-0.000188	-0.023139	-0.046202	-0.026602	0.161507	0.000062	-0.071125	0.005348	43335	222864	112	36	2713	15385	22630	212	46	109	1555	308997	-0.000675	-0.00029	-0.000026	0.000433	-0.00157	-0.055596	0.038357	0.094105	-0.000045	-0.076783	0.00209	-0.004929	-0.000871	0.000958	0.000795	-0.047875	-0.246031	-0.030437	0.583092	-0.001223	-0.263315	0.009837
7	WestBekaa-Rachaya	51732	57751	62695	14931	16997	18763	16359	17949	19185	348	380	415	0	0	0	9484	9634	9760	9214	9493	10335	9914	10055	9487	157	153	736	36	28	103	22	46	64	112197	122486	131543	1.0408772228	0.512159112	0.5688454923	0.3870889158	0.0733158722	-0.0693351231	7.08164910058571E-005	0.0052466532	0	0	-0.5876002416	-0.4457616554	-0.4620672928	0.1064729625	-0.627141945	-0.9970111052	-0.0150202054	0.434600624	-0.009226664	0.0554416365	0.017946945	0.0110979796	109	65	413	19522	9823	9543	63975	19248		10449	659	133806	0.003159828	-7.55003510729971E-005	-0.0068303757	0.0051947241	-0.078401686	-0.0801231667	0.1505362747	0.1212282929	0	-0.0476796051	-0.0670087859	65188	19719	0	19856	9839	9578	10562	112	64	416	780	136114	0.0008227479	-0.0015583815	-0.0030296488	-0.002007218	-0.11272572	-0.09521857	0.08045068	0.10211593	0	-0.04939482	0.08054499	66486	20218	0	20185	9845	9606	10641	113	62	418	791	138365	-0.000616	-0.00221	-0.003527	0.000455	-0.113261	-0.094241	0.158961	0.124956	0	-0.069143	-0.001373	68022	20675	0	20512	9863	9640	10740	112	60	422	807	140853	-0.002153	-0.002211	-0.002496	-0.025527	-0.112903	-0.098492	0.241732	0.066347	0	-0.065558	0.001261	0.001214	-0.006056	-0.015883	-0.021884	-0.417291	-0.368076	0.63168	0.414647	0	-0.231776	0.013425
10	Zahle	34436	41936	45041	19770	23587	25527	721	817	885	1277	727	776	9	9	17	14391	15506	16439	23962	25838	27639	28900	30919	29591	6437	7112	8519	8326	8993	8788	1835	2591	1796	140064	158035	165018	1.9499903606	0.7587042175	0.8101987921	0.5440467364	0.002209409	0.0193310423	-0.45170139	0.010227052	-0.000730693	0.0046069655	-0.4628381978	0.150192984	-0.7583507116	0.3995390955	-1.0687713206	-1.632670222	-0.095487298	0.662198197	-0.25391381	-0.3650319509	0.3293948592	-0.5511441174	8760	1793	773	887	16533	29684	45869	26065	18	27871	8250	166503	-0.0643131792	-0.0115086436	-0.0059958308	-0.0035819962	-0.0323927266	-0.1040761729	0.2538544154	0.1851510544	0.0005087096	-0.0100441833	-0.2076014467	46597	26586	16	899	16593	29748	27997	8708	1800	776	8639	168359	-0.0888858	-0.0077135613	-0.0033360791	0.0012548534	-0.07382585	-0.15852194	0.12871348	0.136883	-0.0013071146	-0.10969211	0.17643113	47507	27175	16	903	16669	29916	28219	8691	1792	790	8674	170352	-0.070491	-0.017204	0.002826	-0.003899	-0.070692	-0.1081	0.210384	0.161008	-0.000111	-0.064233	-0.039487	48629	27683	16	914	16776	30026	28501	8672	1804	802	8732	172555	-0.076145	-0.006476	0.001034	-0.000393	-0.062916	-0.160456	0.294189	0.090737	-0.00012	-0.04806	-0.031394	-0.299836	-0.042902	-0.005472	-0.006619	-0.239826	-0.531154	0.887141	0.573779	-0.00103	-0.232029	-0.102052
