NAME_0	NAME_1	district	diff_voter_registration	registered_female	registered_male	registered_male_pct	registered_female_pct	total_registered	ID_1	ID_2
Lebanon	An Nabatiyah	Bent Jbeil	-1.3748936361	67908	66066	49.312553182	50.687446818	133974	1	1
Lebanon	An Nabatiyah	Nabatieh	-0.8218475737	66859	65769	49.5890762132	50.4109237868	132628	1	4
Lebanon	Beirut	Beirut III	-4.6135242882	138422	126213	47.6932378559	52.3067621441	264635	2	53
Lebanon	Beqaa	Zahleh	-2.6372880534	84685	80333	48.6813559733	51.3186440267	165018	3	10
Lebanon	Mount Lebanon	Aley	-2.3081238039	62011	59213	48.8459380981	51.1540619019	121224	4	11
Lebanon	Mount Lebanon	Baabda	-2.6133001486	80809	76693	48.6933499257	51.3066500743	157502	4	12
Lebanon	Mount Lebanon	Chouf	-2.8227917035	97239	91900	48.5886041483	51.4113958517	189139	4	13
Lebanon	Mount Lebanon	Jbeil	-2.5211810013	39932	37968	48.7394094994	51.2605905006	77900	4	14
Lebanon	Mount Lebanon	Keserwan	-2.5183549545	46428	44147	48.7408225228	51.2591774772	90575	4	15
Lebanon	Mount Lebanon	Metn	-2.9198133073	89197	84136	48.5400933463	51.4599066537	173333	4	16
Lebanon	North Lebanon	Akkar	0.0401292081	125793	125894	50.0200646041	49.9799353959	251687	5	17
Lebanon	North Lebanon	Batroun	-2.0857834659	29513	28307	48.957108267	51.042891733	57820	5	18
Lebanon	North Lebanon	Bchareh	0.387303191	23662	23846	50.1936515955	49.8063484045	47508	5	19
Lebanon	North Lebanon	Koura	-0.3445733976	29267	29066	49.8277133012	50.1722866988	58333	5	20
Lebanon	North Lebanon	Minnieh-Dinnieh	0.2517435572	53491	53761	50.1258717786	49.8741282214	107252	5	21
Lebanon	North Lebanon	Tripoli	-3.9580499575	108146	99911	48.0209750213	51.9790249787	208057	5	22
Lebanon	North Lebanon	Zgharta	-0.0067735075	36911	36906	49.9966132463	50.0033867537	73817	5	23
Lebanon	South Lebanon	Jezzine	-2.746222175	29033	27481	48.6268889125	51.3731110875	56514	6	24
Lebanon	South Lebanon	Saida	-6.6378619464	30604	26794	46.6810690268	53.3189309732	57398	6	251
Lebanon	South Lebanon	Sour	-0.3740896178	85861	85221	49.8129551911	50.1870448089	171082	6	26
Lebanon	South Lebanon	Zahrany	0.3096278587	50871	51187	50.1548139293	49.8451860707	102058	6	252
Lebanon	Beirut	Beirut II	-4.2863008336	54609	50120	47.8568495832	52.1431504168	104729	2	52
Lebanon	Beirut	Beirut I	-4.8370981755	48267	43813	47.5814509123	52.4185490877	92080	2	51
Lebanon	Beqaa	Baalbeck-Hermel	-2.025794297	145676	139891	48.9871028515	51.0128971485	285567	3	6
Lebanon	Beqaa	West Bekaa- Rashaya	0.1573629916	65668	65875	50.0786814958	49.9213185042	131543	3	7
Lebanon	An Nabatiyah	Marjaaoun-Hasbaya	-1.5592163243	74905	72605	49.2203918378	50.7796081622	147510	1	2
