"Year","Confession","Gender","Town","District","Governorate"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1950-1954","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1965-1969","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1950-1954","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1950-1954","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1950-1954","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1945-1949","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1990-1994","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1990-1994","سني","ذكر","المجيدية","حاصبيا","النبطية"
