"Year","Confession","Gender","Town","District","Governorate"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1915-1919","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1915-1919","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1915-1919","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1915-1919","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1910-1914","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","غير مذكور","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1910-1914","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1910-1914","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1935-1939","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1960-1964","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1950-1954","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1925-1929","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1915-1919","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1965-1969","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1940-1944","سني","ذكر","البيره","راشيا","البقاع"
"1955-1959","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1945-1949","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1970-1974","سني","ذكر","البيره","راشيا","البقاع"
"1930-1934","سني","ذكر","البيره","راشيا","البقاع"
"1920-1924","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
"1975-1979","سني","ذكر","البيره","راشيا","البقاع"
