Districts,RegisteredVoter/District,ID,Sunni,Shiite,Druze,Alawite,Maronite,Greek Orthodox,Greek Catholic,Armenian Orthodox,Armenian Catholic,Evangelical,Minorities,Total,Voter Percentage,Seat Percentage,Index
Akkar,251687,17,3,,,1,1,2,,,,,,7,0.0727653985,0.0546875,0.7515591352
Minieh-Dinnieh,107252,21,3,,,,,,,,,,,3,0.0310076981,0.0234375,0.7558606862
Tripoli,208057,22,5,,,1,1,1,,,,,,8,0.0601514998,0.0625,1.0390430868
Zghorta,73817,23,,,,,3,,,,,,,3,0.0213412827,0.0234375,1.0982235842
Bcharre,47508,19,,,,,2,,,,,,,2,0.01373507,0.015625,1.1375988649
Koura,58333,20,,,,,,3,,,,,,3,0.016864693,0.0234375,1.3897377181
Batroun,57820,18,,,,,2,,,,,,,2,0.0167163792,0.015625,0.9347119833
Jbeil,77900,14,,1,,,2,,,,,,,3,0.0225217216,0.0234375,1.0406620066
Keserwan,90575,15,,,,,5,,,,,,,5,0.0261861994,0.0390625,1.4917208632
Metn,173333,16,,,,,4,2,1,1,,,,8,0.0501124207,0.0625,1.2471957879
Baabda,157502,12,,2,1,,3,,,,,,,6,0.0455355096,0.046875,1.0294163923
Aley,121224,11,,,2,,2,1,,,,,,5,0.0350471525,0.0390625,1.114569864
Chouf,189139,13,2,,2,,3,,1,,,,,8,0.054682104,0.0625,1.1429699189
Beirut-One,92080,51,,,,,1,1,1,1,1,,,5,0.026621311,0.0390625,1.4673394569
Beirut-Two,104729,52,1,1,,,,,,2,,,,4,0.0302782719,0.03125,1.0320932478
Beirut-Three,264635,53,5,1,1,,,1,,,,1,1,10,0.0765088036,0.078125,1.0211243198
Baalbeck-Hermel,285567,6,2,6,,,1,,1,,,,,10,0.0825604682,0.078125,0.9462761257
Zahleh,165018,10,1,1,,,1,1,2,1,,,,7,0.0477084654,0.0546875,1.146285036
WestBekaa-Rachaya,131543,7,2,1,1,,1,1,,,,,,6,0.0380304856,0.046875,1.2325638052
Saida,57398,251,2,,,,,,,,,,,2,0.0165943745,0.015625,0.9415841471
Zahrany,102058,252,,2,,,,,1,,,,,3,0.0295060573,0.0234375,0.7943284242
Jezzine,56514,24,,,,,2,,1,,,,,3,0.0163388007,0.0234375,1.4344688097
Marjaayoun-Hasbaya,147510,2,1,2,1,,,1,,,,,,5,0.0426467157,0.0390625,0.915955645
Nabatieh,132628,4,,3,,,,,,,,,,3,0.0383441706,0.0234375,0.6112402382
Tyre-Sour,171082,26,,4,,,,,,,,,,4,0.0494616326,0.03125,0.6318028416
BintJbeil,133974,1,,3,,,,,,,,,,3,0.0387333136,0.0234375,0.6050992753
