Districts,RegisteredVoter/District,gov_id,Sunni,Shiite,Druze,Alawite,Maronite,Greek Orthodox,Greek Catholic,Armenian Orthodox,Armenian Catholic,Evangelical,Minorities,Total,Voter Percentage,Seat Percentage,Index
Akkar,263268,17,3,,,1,1,2,,,,,,7,0.0737961538,0.0546875,0.741061657
Minieh-Dinnieh,112730,21,3,,,,,,,,,,,3,0.0315991325,0.0234375,0.7417133998
Tripoli,215824,22,5,,,1,1,1,,,,,,8,0.0604972161,0.0625,1.0331053891
Zghorta,75527,23,,,,,3,,,,,,,3,0.0211708301,0.0234375,1.1070657058
Bcharre,48427,19,,,,,2,,,,,,,2,0.0135744805,0.015625,1.1510569388
Koura,59181,20,,,,,,3,,,,,,3,0.0165889139,0.0234375,1.4128411409
Batroun,58787,18,,,,,2,,,,,,,2,0.0164784725,0.015625,0.9482068208
Jbeil,79655,14,,1,,,2,,,,,,,3,0.022327942,0.0234375,1.0496936986
Keserwan,91993,15,,,,,5,,,,,,,5,0.0257863834,0.0390625,1.5148498901
Metn,175799,16,,,,,4,2,1,1,,,,8,0.0492778843,0.0625,1.2683174392
Baabda,160729,12,,2,1,,3,,,,,,,6,0.0450536412,0.046875,1.0404264515
Aley,123633,11,,,2,,2,1,,,,,,5,0.0346553318,0.0390625,1.1271714343
Chouf,194220,13,2,,2,,3,,1,,,,,8,0.0544414399,0.0625,1.1480225389
Beirut-One,92212,51,,,,,1,1,1,1,1,,,5,0.0258477708,0.0390625,1.5112521791
Beirut-Two,106490,52,1,1,,,,,,2,,,,4,0.0298500099,0.03125,1.046900824
Beirut-Three,272065,53,5,1,1,,,1,,,,1,1,10,0.0762620242,0.078125,1.0244286177
Baalbeck-Hermel,298102,6,2,6,,,1,,1,,,,,10,0.0835604063,0.078125,0.9349523716
Zahleh,168359,10,1,1,,,1,1,2,1,,,,7,0.047192392,0.0546875,1.1588202609
WestBekaa-Rachaya,136114,7,2,1,1,,1,1,,,,,,6,0.0381538572,0.046875,1.2285782735
Saida,59565,251,2,,,,,,,,,,,2,0.0166965522,0.015625,0.9358219487
Zahrany,106430,252,,2,,,,,1,,,,,3,0.0298331915,0.0234375,0.7856182614
Jezzine,57591,24,,,,,2,,1,,,,,3,0.016143224,0.0234375,1.451847538
Marjaayoun-Hasbaya,153490,2,1,2,1,,,1,,,,,,5,0.0430244908,0.0390625,0.9079131275
Nabatieh,138514,4,,3,,,,,,,,,,3,0.0388265966,0.0234375,0.6036454912
Tyre-Sour,178726,26,,4,,,,,,,,,,4,0.0500983461,0.03125,0.623773087
BintJbeil,140072,1,,3,,,,,,,,,,3,0.0392633167,0.0234375,0.5969312322
