Districts;RegisteredVoter/District;gov_id;Sunni;Shiite;Druze;Alawite;Maronite;Greek Orthodox;Greek Catholic;Armenian Orthodox;Armenian Catholic;Evangelical;Minorities;Total;Voter Percentage;Seat Percentage;Index
Akkar;269910;17;3;;;1;1;2;;;;;;7;0,075505573;0,0546875;0,724284281
Minieh-Dinnieh;115663;21;3;;;;;;;;;;;3;0,032355975;0,0234375;0,724363898
Tripoli;220188;22;5;;;1;1;1;;;;;;8;0,061596166;0,0625;1,01467354
Zghorta;76485;23;;;;;3;;;;;;;3;0,021396183;0,0234375;1,095405656
Bcharre;48800;19;;;;;2;;;;;;;2;0,013651484;0,015625;1,144564229
Koura;59597;20;;;;;;3;;;;;;3;0,016671875;0,0234375;1,405810721
Batroun;59362;18;;;;;2;;;;;;;2;0,016606135;0,015625;0,940917327
Jbeil;80634;14;;1;;;2;;;;;;;3;0,022556839;0,0234375;1,039041863
Keserwan;92865;15;;;;;5;;;;;;;5;0,025978382;0,0390625;1,503654078
Metn;177147;16;;;;;4;2;1;1;;;;8;0,049555725;0,0625;1,261206442
Baabda;162585;12;;2;1;;3;;;;;;;6;0,0454821;0,046875;1,030625231
Aley;124644;11;;;2;;2;1;;;;;;5;0,034868351;0,0390625;1,12028526
Chouf;196892;13;2;;2;;3;;1;;;;;8;0,055079261;0,0625;1,134728366
Beirut-One;92423;51;;;;;1;1;1;1;1;;;5;0,025854735;0,0390625;1,510845092
Beirut-Two;107569;52;1;1;;;;;;2;;;;4;0,030091731;0,03125;1,038491282
Beirut-Three;276029;53;5;1;1;;;1;;;;1;1;10;0,077217324;0,078125;1,011754822
Baalbeck-Hermel;252919;6;2;6;;;1;;1;;;;;10;0,070752451;0,078125;1,104202025
Zahleh;170352;10;1;1;;;1;1;2;1;;;;7;0,047654868;0,0546875;1,14757426
WestBekaa-Rachaya;138365;7;2;1;1;;1;1;;;;;;6;0,038706712;0,046875;1,211030269
Saida;60610;251;2;;;;;;;;;;;2;0,016955255;0,015625;0,921543217
Zahrany;108995;252;;2;;;;;1;;;;;3;0,030490645;0,0234375;0,768678394
Jezzine;58349;24;;;;;2;;1;;;;;3;0,016322755;0,0234375;1,435878962
Marjaayoun-Hasbaya;156789;2;1;2;1;;;1;;;;;;5;0,043860707;0,0390625;0,890603524
Nabatieh;141736;4;;3;;;;;;;;;;3;0,039649728;0,0234375;0,591113772
Tyre-Sour;182702;26;;4;;;;;;;;;;4;0,051109701;0,03125;0,611429917
BintJbeil;143093;1;;3;;;;;;;;;;3;0,04002934;0,0234375;0,585508037
