"","Year","Confession","District","Population"
"12",2005,"Sunni","Akkar",127074
"13",2005,"Shia","Akkar",1843
"14",2005,"Minorities","Akkar",32
"15",2005,"Maronite","Akkar",27085
"16",2005,"Greek Orthodox","Akkar",35515
"17",2005,"Greek Catholic","Akkar",2152
"18",2005,"Evangelical","Akkar",686
"19",2005,"Druze","Akkar",0
"20",2005,"Armenian Orthodox","Akkar",50
"21",2005,"Armenian Catholic","Akkar",19
"22",2005,"Alawite","Akkar",9661
"265",2009,"Sunni","Akkar",143428
"266",2009,"Shia","Akkar",2179
"267",2009,"Minorities","Akkar",61
"268",2009,"Maronite","Akkar",28176
"269",2009,"Greek Orthodox","Akkar",35948
"270",2009,"Greek Catholic","Akkar",2228
"271",2009,"Evangelical","Akkar",666
"272",2009,"Druze","Akkar",1
"273",2009,"Armenian Orthodox","Akkar",50
"274",2009,"Armenian Catholic","Akkar",27
"275",2009,"Alawite","Akkar",10744
"518",2013,"Sunni","Akkar",165787
"519",2013,"Shia","Akkar",2915
"520",2013,"Minorities","Akkar",881
"521",2013,"Maronite","Akkar",29259
"522",2013,"Greek Orthodox","Akkar",36407
"523",2013,"Greek Catholic","Akkar",3242
"524",2013,"Evangelical","Akkar",781
"525",2013,"Druze","Akkar",11
"526",2013,"Armenian Orthodox","Akkar",158
"527",2013,"Armenian Catholic","Akkar",64
"528",2013,"Alawite","Akkar",12182
