"","Year","Confession","District","Population"
"155",2005,"Sunni","Aley",1374
"156",2005,"Shia","Aley",3140
"157",2005,"Minorities","Aley",558
"158",2005,"Maronite","Aley",27461
"159",2005,"Greek Orthodox","Aley",14694
"160",2005,"Greek Catholic","Aley",3760
"161",2005,"Evangelical","Aley",896
"162",2005,"Druze","Aley",56599
"163",2005,"Armenian Orthodox","Aley",675
"164",2005,"Armenian Catholic","Aley",114
"165",2005,"Alawite","Aley",0
"408",2009,"Sunni","Aley",1559
"409",2009,"Shia","Aley",3481
"410",2009,"Minorities","Aley",616
"411",2009,"Maronite","Aley",28418
"412",2009,"Greek Orthodox","Aley",15154
"413",2009,"Greek Catholic","Aley",3888
"414",2009,"Evangelical","Aley",852
"415",2009,"Druze","Aley",61339
"416",2009,"Armenian Orthodox","Aley",648
"417",2009,"Armenian Catholic","Aley",174
"418",2009,"Alawite","Aley",0
"661",2013,"Sunni","Aley",2329
"662",2013,"Shia","Aley",3908
"663",2013,"Minorities","Aley",1798
"664",2013,"Maronite","Aley",28158
"665",2013,"Greek Orthodox","Aley",14404
"666",2013,"Greek Catholic","Aley",4603
"667",2013,"Evangelical","Aley",891
"668",2013,"Druze","Aley",64106
"669",2013,"Armenian Orthodox","Aley",833
"670",2013,"Armenian Catholic","Aley",188
"671",2013,"Alawite","Aley",6
