"","Year","Confession","District","Population"
"133",2005,"Sunni","Baabda",7908
"134",2005,"Shia","Baabda",31969
"135",2005,"Minorities","Baabda",2180
"136",2005,"Maronite","Baabda",54889
"137",2005,"Greek Orthodox","Baabda",11073
"138",2005,"Greek Catholic","Baabda",7447
"139",2005,"Evangelical","Baabda",490
"140",2005,"Druze","Baabda",23671
"141",2005,"Armenian Orthodox","Baabda",1442
"142",2005,"Armenian Catholic","Baabda",705
"143",2005,"Alawite","Baabda",10
"386",2009,"Sunni","Baabda",8728
"387",2009,"Shia","Baabda",35414
"388",2009,"Minorities","Baabda",2352
"389",2009,"Maronite","Baabda",57280
"390",2009,"Greek Orthodox","Baabda",11460
"391",2009,"Greek Catholic","Baabda",7721
"392",2009,"Evangelical","Baabda",488
"393",2009,"Druze","Baabda",25963
"394",2009,"Armenian Orthodox","Baabda",1451
"395",2009,"Armenian Catholic","Baabda",705
"396",2009,"Alawite","Baabda",12
"639",2013,"Sunni","Baabda",9959
"640",2013,"Shia","Baabda",37487
"641",2013,"Minorities","Baabda",3650
"642",2013,"Maronite","Baabda",55357
"643",2013,"Greek Orthodox","Baabda",12399
"644",2013,"Greek Catholic","Baabda",8587
"645",2013,"Evangelical","Baabda",626
"646",2013,"Druze","Baabda",27068
"647",2013,"Armenian Orthodox","Baabda",1585
"648",2013,"Armenian Catholic","Baabda",765
"649",2013,"Alawite","Baabda",19
