"","Year","Confession","District","Population"
"78",2005,"Sunni","Baalbek",30996
"79",2005,"Shia","Baalbek",165840
"80",2005,"Minorities","Baalbek",45
"81",2005,"Maronite","Baalbek",19005
"82",2005,"Greek Orthodox","Baalbek",2069
"83",2005,"Greek Catholic","Baalbek",15032
"84",2005,"Evangelical","Baalbek",33
"85",2005,"Druze","Baalbek",0
"86",2005,"Armenian Orthodox","Baalbek",157
"87",2005,"Armenian Catholic","Baalbek",4
"88",2005,"Alawite","Baalbek",96
"331",2009,"Sunni","Baalbek",33845
"332",2009,"Shia","Baalbek",184414
"333",2009,"Minorities","Baalbek",63
"334",2009,"Maronite","Baalbek",20084
"335",2009,"Greek Orthodox","Baalbek",2063
"336",2009,"Greek Catholic","Baalbek",14922
"337",2009,"Evangelical","Baalbek",35
"338",2009,"Druze","Baalbek",1
"339",2009,"Armenian Orthodox","Baalbek",136
"340",2009,"Armenian Catholic","Baalbek",4
"341",2009,"Alawite","Baalbek",84
"584",2013,"Sunni","Baalbek",40136
"585",2013,"Shia","Baalbek",204300
"586",2013,"Minorities","Baalbek",1409
"587",2013,"Maronite","Baalbek",21666
"588",2013,"Greek Orthodox","Baalbek",2644
"589",2013,"Greek Catholic","Baalbek",14921
"590",2013,"Evangelical","Baalbek",98
"591",2013,"Druze","Baalbek",31
"592",2013,"Armenian Orthodox","Baalbek",210
"593",2013,"Armenian Catholic","Baalbek",45
"594",2013,"Alawite","Baalbek",107
