"","Year","Confession","District","Population"
"56",2005,"Sunni","Bcharry",5
"57",2005,"Shia","Bcharry",0
"58",2005,"Minorities","Bcharry",29
"59",2005,"Maronite","Bcharry",43417
"60",2005,"Greek Orthodox","Bcharry",258
"61",2005,"Greek Catholic","Bcharry",91
"62",2005,"Evangelical","Bcharry",0
"63",2005,"Druze","Bcharry",0
"64",2005,"Armenian Orthodox","Bcharry",23
"65",2005,"Armenian Catholic","Bcharry",0
"66",2005,"Alawite","Bcharry",0
"309",2009,"Sunni","Bcharry",19
"310",2009,"Shia","Bcharry",0
"311",2009,"Minorities","Bcharry",32
"312",2009,"Maronite","Bcharry",46003
"313",2009,"Greek Orthodox","Bcharry",220
"314",2009,"Greek Catholic","Bcharry",102
"315",2009,"Evangelical","Bcharry",0
"316",2009,"Druze","Bcharry",0
"317",2009,"Armenian Orthodox","Bcharry",25
"318",2009,"Armenian Catholic","Bcharry",0
"319",2009,"Alawite","Bcharry",0
"562",2013,"Sunni","Bcharry",93
"563",2013,"Shia","Bcharry",22
"564",2013,"Minorities","Bcharry",382
"565",2013,"Maronite","Bcharry",45055
"566",2013,"Greek Orthodox","Bcharry",1280
"567",2013,"Greek Catholic","Bcharry",521
"568",2013,"Evangelical","Bcharry",54
"569",2013,"Druze","Bcharry",0
"570",2013,"Armenian Orthodox","Bcharry",73
"571",2013,"Armenian Catholic","Bcharry",21
"572",2013,"Alawite","Bcharry",7
