"","Year","Confession","District","Population"
"111",2005,"Sunni","Chouf",46755
"112",2005,"Shia","Chouf",3470
"113",2005,"Minorities","Chouf",123
"114",2005,"Maronite","Chouf",50727
"115",2005,"Greek Orthodox","Chouf",927
"116",2005,"Greek Catholic","Chouf",11893
"117",2005,"Evangelical","Chouf",597
"118",2005,"Druze","Chouf",51191
"119",2005,"Armenian Orthodox","Chouf",43
"120",2005,"Armenian Catholic","Chouf",48
"121",2005,"Alawite","Chouf",0
"364",2009,"Sunni","Chouf",51417
"365",2009,"Shia","Chouf",3831
"366",2009,"Minorities","Chouf",142
"367",2009,"Maronite","Chouf",54056
"368",2009,"Greek Orthodox","Chouf",822
"369",2009,"Greek Catholic","Chouf",12791
"370",2009,"Evangelical","Chouf",653
"371",2009,"Druze","Chouf",58057
"372",2009,"Armenian Orthodox","Chouf",47
"373",2009,"Armenian Catholic","Chouf",50
"374",2009,"Alawite","Chouf",0
"617",2013,"Sunni","Chouf",53821
"618",2013,"Shia","Chouf",5541
"619",2013,"Minorities","Chouf",1876
"620",2013,"Maronite","Chouf",52373
"621",2013,"Greek Orthodox","Chouf",2996
"622",2013,"Greek Catholic","Chouf",12313
"623",2013,"Evangelical","Chouf",728
"624",2013,"Druze","Chouf",59110
"625",2013,"Armenian Orthodox","Chouf",228
"626",2013,"Armenian Catholic","Chouf",145
"627",2013,"Alawite","Chouf",8
