"","Year","Confession","District","Population"
"177",2005,"Sunni","Jezzine",910
"178",2005,"Shia","Jezzine",9720
"179",2005,"Minorities","Jezzine",42
"180",2005,"Maronite","Jezzine",32176
"181",2005,"Greek Orthodox","Jezzine",89
"182",2005,"Greek Catholic","Jezzine",7948
"183",2005,"Evangelical","Jezzine",24
"184",2005,"Druze","Jezzine",443
"185",2005,"Armenian Orthodox","Jezzine",30
"186",2005,"Armenian Catholic","Jezzine",15
"187",2005,"Alawite","Jezzine",0
"430",2009,"Sunni","Jezzine",960
"431",2009,"Shia","Jezzine",10828
"432",2009,"Minorities","Jezzine",39
"433",2009,"Maronite","Jezzine",33483
"434",2009,"Greek Orthodox","Jezzine",91
"435",2009,"Greek Catholic","Jezzine",8219
"436",2009,"Evangelical","Jezzine",19
"437",2009,"Druze","Jezzine",506
"438",2009,"Armenian Orthodox","Jezzine",26
"439",2009,"Armenian Catholic","Jezzine",16
"440",2009,"Alawite","Jezzine",0
"683",2013,"Sunni","Jezzine",1370
"684",2013,"Shia","Jezzine",11390
"685",2013,"Minorities","Jezzine",793
"686",2013,"Maronite","Jezzine",32331
"687",2013,"Greek Orthodox","Jezzine",1418
"688",2013,"Greek Catholic","Jezzine",8313
"689",2013,"Evangelical","Jezzine",150
"690",2013,"Druze","Jezzine",541
"691",2013,"Armenian Orthodox","Jezzine",122
"692",2013,"Armenian Catholic","Jezzine",81
"693",2013,"Alawite","Jezzine",5
