"","Year","Confession","District","Population"
"34",2005,"Sunni","Koura",6737
"35",2005,"Shia","Koura",1008
"36",2005,"Minorities","Koura",66
"37",2005,"Maronite","Koura",10733
"38",2005,"Greek Orthodox","Koura",36625
"39",2005,"Greek Catholic","Koura",184
"40",2005,"Evangelical","Koura",155
"41",2005,"Druze","Koura",2
"42",2005,"Armenian Orthodox","Koura",50
"43",2005,"Armenian Catholic","Koura",1
"44",2005,"Alawite","Koura",238
"287",2009,"Sunni","Koura",7407
"288",2009,"Shia","Koura",1125
"289",2009,"Minorities","Koura",71
"290",2009,"Maronite","Koura",11007
"291",2009,"Greek Orthodox","Koura",37341
"292",2009,"Greek Catholic","Koura",182
"293",2009,"Evangelical","Koura",166
"294",2009,"Druze","Koura",1
"295",2009,"Armenian Orthodox","Koura",50
"296",2009,"Armenian Catholic","Koura",0
"297",2009,"Alawite","Koura",428
"540",2013,"Sunni","Koura",7942
"541",2013,"Shia","Koura",1145
"542",2013,"Minorities","Koura",531
"543",2013,"Maronite","Koura",12516
"544",2013,"Greek Orthodox","Koura",34699
"545",2013,"Greek Catholic","Koura",685
"546",2013,"Evangelical","Koura",223
"547",2013,"Druze","Koura",9
"548",2013,"Armenian Orthodox","Koura",104
"549",2013,"Armenian Catholic","Koura",27
"550",2013,"Alawite","Koura",452
