"","Year","Confession","District","Population"
"122",2005,"Sunni","Matn",2643
"123",2005,"Shia","Matn",3935
"124",2005,"Minorities","Matn",7202
"125",2005,"Maronite","Matn",72300
"126",2005,"Greek Orthodox","Matn",23545
"127",2005,"Greek Catholic","Matn",15578
"128",2005,"Evangelical","Matn",2570
"129",2005,"Druze","Matn",2118
"130",2005,"Armenian Orthodox","Matn",25525
"131",2005,"Armenian Catholic","Matn",7037
"132",2005,"Alawite","Matn",182
"375",2009,"Sunni","Matn",2836
"376",2009,"Shia","Matn",4417
"377",2009,"Minorities","Matn",7744
"378",2009,"Maronite","Matn",76187
"379",2009,"Greek Orthodox","Matn",24860
"380",2009,"Greek Catholic","Matn",16631
"381",2009,"Evangelical","Matn",1164
"382",2009,"Druze","Matn",2240
"383",2009,"Armenian Orthodox","Matn",25819
"384",2009,"Armenian Catholic","Matn",8591
"385",2009,"Alawite","Matn",199
"628",2013,"Sunni","Matn",3438
"629",2013,"Shia","Matn",4857
"630",2013,"Minorities","Matn",11369
"631",2013,"Maronite","Matn",75706
"632",2013,"Greek Orthodox","Matn",25501
"633",2013,"Greek Catholic","Matn",17185
"634",2013,"Evangelical","Matn",1026
"635",2013,"Druze","Matn",2277
"636",2013,"Armenian Orthodox","Matn",25410
"637",2013,"Armenian Catholic","Matn",6373
"638",2013,"Alawite","Matn",191
