"","Year","Confession","District","Population"
"45",2005,"Sunni","Minniye.Danniyeh",73166
"46",2005,"Shia","Minniye.Danniyeh",54
"47",2005,"Minorities","Minniye.Danniyeh",5
"48",2005,"Maronite","Minniye.Danniyeh",5967
"49",2005,"Greek Orthodox","Minniye.Danniyeh",7479
"50",2005,"Greek Catholic","Minniye.Danniyeh",57
"51",2005,"Evangelical","Minniye.Danniyeh",0
"52",2005,"Druze","Minniye.Danniyeh",0
"53",2005,"Armenian Orthodox","Minniye.Danniyeh",0
"54",2005,"Armenian Catholic","Minniye.Danniyeh",3
"55",2005,"Alawite","Minniye.Danniyeh",16
"298",2009,"Sunni","Minniye.Danniyeh",82868
"299",2009,"Shia","Minniye.Danniyeh",58
"300",2009,"Minorities","Minniye.Danniyeh",5
"301",2009,"Maronite","Minniye.Danniyeh",6354
"302",2009,"Greek Orthodox","Minniye.Danniyeh",7961
"303",2009,"Greek Catholic","Minniye.Danniyeh",57
"304",2009,"Evangelical","Minniye.Danniyeh",1
"305",2009,"Druze","Minniye.Danniyeh",0
"306",2009,"Armenian Orthodox","Minniye.Danniyeh",0
"307",2009,"Armenian Catholic","Minniye.Danniyeh",2
"308",2009,"Alawite","Minniye.Danniyeh",17
"551",2013,"Sunni","Minniye.Danniyeh",91496
"552",2013,"Shia","Minniye.Danniyeh",276
"553",2013,"Minorities","Minniye.Danniyeh",443
"554",2013,"Maronite","Minniye.Danniyeh",7000
"555",2013,"Greek Orthodox","Minniye.Danniyeh",7740
"556",2013,"Greek Catholic","Minniye.Danniyeh",168
"557",2013,"Evangelical","Minniye.Danniyeh",39
"558",2013,"Druze","Minniye.Danniyeh",2
"559",2013,"Armenian Orthodox","Minniye.Danniyeh",17
"560",2013,"Armenian Catholic","Minniye.Danniyeh",6
"561",2013,"Alawite","Minniye.Danniyeh",65
