"","Year","Confession","District","Population"
"199",2005,"Sunni","Saida",40800
"200",2005,"Shia","Saida",4165
"201",2005,"Minorities","Saida",135
"202",2005,"Maronite","Saida",1271
"203",2005,"Greek Orthodox","Saida",209
"204",2005,"Greek Catholic","Saida",1734
"205",2005,"Evangelical","Saida",118
"206",2005,"Druze","Saida",44
"207",2005,"Armenian Orthodox","Saida",196
"208",2005,"Armenian Catholic","Saida",20
"209",2005,"Alawite","Saida",0
"452",2009,"Sunni","Saida",45345
"453",2009,"Shia","Saida",4753
"454",2009,"Minorities","Saida",160
"455",2009,"Maronite","Saida",1287
"456",2009,"Greek Orthodox","Saida",201
"457",2009,"Greek Catholic","Saida",1727
"458",2009,"Evangelical","Saida",124
"459",2009,"Druze","Saida",36
"460",2009,"Armenian Orthodox","Saida",201
"461",2009,"Armenian Catholic","Saida",23
"462",2009,"Alawite","Saida",0
"705",2013,"Sunni","Saida",51059
"706",2013,"Shia","Saida",79598
"707",2013,"Minorities","Saida",1058
"708",2013,"Maronite","Saida",12444
"709",2013,"Greek Orthodox","Saida",1016
"710",2013,"Greek Catholic","Saida",13173
"711",2013,"Evangelical","Saida",627
"712",2013,"Druze","Saida",74
"713",2013,"Armenian Orthodox","Saida",321
"714",2013,"Armenian Catholic","Saida",78
"715",2013,"Alawite","Saida",8
