"","Year","Confession","District","Population"
"67",2005,"Sunni","Tripoli",139018
"68",2005,"Shia","Tripoli",1282
"69",2005,"Minorities","Tripoli",871
"70",2005,"Maronite","Tripoli",4261
"71",2005,"Greek Orthodox","Tripoli",12042
"72",2005,"Greek Catholic","Tripoli",1187
"73",2005,"Evangelical","Tripoli",564
"74",2005,"Druze","Tripoli",6
"75",2005,"Armenian Orthodox","Tripoli",1887
"76",2005,"Armenian Catholic","Tripoli",261
"77",2005,"Alawite","Tripoli",13167
"320",2009,"Sunni","Tripoli",157634
"321",2009,"Shia","Tripoli",1539
"322",2009,"Minorities","Tripoli",885
"323",2009,"Maronite","Tripoli",4339
"324",2009,"Greek Orthodox","Tripoli",12432
"325",2009,"Greek Catholic","Tripoli",1281
"326",2009,"Evangelical","Tripoli",460
"327",2009,"Druze","Tripoli",22
"328",2009,"Armenian Orthodox","Tripoli",1924
"329",2009,"Armenian Catholic","Tripoli",352
"330",2009,"Alawite","Tripoli",15224
"573",2013,"Sunni","Tripoli",167599
"574",2013,"Shia","Tripoli",2579
"575",2013,"Minorities","Tripoli",2201
"576",2013,"Maronite","Tripoli",5166
"577",2013,"Greek Orthodox","Tripoli",11929
"578",2013,"Greek Catholic","Tripoli",1456
"579",2013,"Evangelical","Tripoli",479
"580",2013,"Druze","Tripoli",34
"581",2013,"Armenian Orthodox","Tripoli",1783
"582",2013,"Armenian Catholic","Tripoli",266
"583",2013,"Alawite","Tripoli",14565
