Year,Confession,District,Population
2005,Sunni,Zgharta,7203
2005,Shia,Zgharta,58
2005,Minorities,Zgharta,21
2005,Maronite,Zgharta,56883
2005,Greek Orthodox,Zgharta,2337
2005,Greek Catholic,Zgharta,157
2005,Evangelical,Zgharta,46
2005,Druze,Zgharta,0
2005,Armenian Orthodox,Zgharta,35
2005,Armenian Catholic,Zgharta,58
2005,Alawite,Zgharta,14
2005,Sunni,Akkar,127074
2005,Shia,Akkar,1843
2005,Minorities,Akkar,32
2005,Maronite,Akkar,27085
2005,Greek Orthodox,Akkar,35515
2005,Greek Catholic,Akkar,2152
2005,Evangelical,Akkar,686
2005,Druze,Akkar,0
2005,Armenian Orthodox,Akkar,50
2005,Armenian Catholic,Akkar,19
2005,Alawite,Akkar,9661
2005,Sunni,Batroun,2864
2005,Shia,Batroun,839
2005,Minorities,Batroun,172
2005,Maronite,Batroun,41046
2005,Greek Orthodox,Batroun,8919
2005,Greek Catholic,Batroun,1556
2005,Evangelical,Batroun,11
2005,Druze,Batroun,0
2005,Armenian Orthodox,Batroun,175
2005,Armenian Catholic,Batroun,54
2005,Alawite,Batroun,39
2005,Sunni,Koura,6737
2005,Shia,Koura,1008
2005,Minorities,Koura,66
2005,Maronite,Koura,10733
2005,Greek Orthodox,Koura,36625
2005,Greek Catholic,Koura,184
2005,Evangelical,Koura,155
2005,Druze,Koura,2
2005,Armenian Orthodox,Koura,50
2005,Armenian Catholic,Koura,1
2005,Alawite,Koura,238
2005,Sunni,Minniye.Danniyeh,73166
2005,Shia,Minniye.Danniyeh,54
2005,Minorities,Minniye.Danniyeh,5
2005,Maronite,Minniye.Danniyeh,5967
2005,Greek Orthodox,Minniye.Danniyeh,7479
2005,Greek Catholic,Minniye.Danniyeh,57
2005,Evangelical,Minniye.Danniyeh,0
2005,Druze,Minniye.Danniyeh,0
2005,Armenian Orthodox,Minniye.Danniyeh,0
2005,Armenian Catholic,Minniye.Danniyeh,3
2005,Alawite,Minniye.Danniyeh,16
2005,Sunni,Bcharry,5
2005,Shia,Bcharry,0
2005,Minorities,Bcharry,29
2005,Maronite,Bcharry,43417
2005,Greek Orthodox,Bcharry,258
2005,Greek Catholic,Bcharry,91
2005,Evangelical,Bcharry,0
2005,Druze,Bcharry,0
2005,Armenian Orthodox,Bcharry,23
2005,Armenian Catholic,Bcharry,0
2005,Alawite,Bcharry,0
2005,Sunni,Tripoli,139018
2005,Shia,Tripoli,1282
2005,Minorities,Tripoli,871
2005,Maronite,Tripoli,4261
2005,Greek Orthodox,Tripoli,12042
2005,Greek Catholic,Tripoli,1187
2005,Evangelical,Tripoli,564
2005,Druze,Tripoli,6
2005,Armenian Orthodox,Tripoli,1887
2005,Armenian Catholic,Tripoli,261
2005,Alawite,Tripoli,13167
2005,Sunni,Baalbek,30996
2005,Shia,Baalbek,165840
2005,Minorities,Baalbek,45
2005,Maronite,Baalbek,19005
2005,Greek Orthodox,Baalbek,2069
2005,Greek Catholic,Baalbek,15032
2005,Evangelical,Baalbek,33
2005,Druze,Baalbek,0
2005,Armenian Orthodox,Baalbek,157
2005,Armenian Catholic,Baalbek,4
2005,Alawite,Baalbek,96
2005,Sunni,WestBekaa.Rachaya,51732
2005,Shia,WestBekaa.Rachaya,14931
2005,Minorities,WestBekaa.Rachaya,157
2005,Maronite,WestBekaa.Rachaya,9214
2005,Greek Orthodox,WestBekaa.Rachaya,9484
2005,Greek Catholic,WestBekaa.Rachaya,9914
2005,Evangelical,WestBekaa.Rachaya,348
2005,Druze,WestBekaa.Rachaya,16359
2005,Armenian Orthodox,WestBekaa.Rachaya,36
2005,Armenian Catholic,WestBekaa.Rachaya,22
2005,Alawite,WestBekaa.Rachaya,0
2005,Sunni,Zahle,34436
2005,Shia,Zahle,19770
2005,Minorities,Zahle,6437
2005,Maronite,Zahle,23962
2005,Greek Orthodox,Zahle,14391
2005,Greek Catholic,Zahle,28900
2005,Evangelical,Zahle,1277
2005,Druze,Zahle,721
2005,Armenian Orthodox,Zahle,8326
2005,Armenian Catholic,Zahle,1835
2005,Alawite,Zahle,9
2005,Sunni,Chouf,46755
2005,Shia,Chouf,3470
2005,Minorities,Chouf,123
2005,Maronite,Chouf,50727
2005,Greek Orthodox,Chouf,927
2005,Greek Catholic,Chouf,11893
2005,Evangelical,Chouf,597
2005,Druze,Chouf,51191
2005,Armenian Orthodox,Chouf,43
2005,Armenian Catholic,Chouf,48
2005,Alawite,Chouf,0
2005,Sunni,Matn,2643
