"","Year","Confession","District","Population"
"89",2005,"Sunni","WestBekaa.Rachaya",51732
"90",2005,"Shia","WestBekaa.Rachaya",14931
"91",2005,"Minorities","WestBekaa.Rachaya",157
"92",2005,"Maronite","WestBekaa.Rachaya",9214
"93",2005,"Greek Orthodox","WestBekaa.Rachaya",9484
"94",2005,"Greek Catholic","WestBekaa.Rachaya",9914
"95",2005,"Evangelical","WestBekaa.Rachaya",348
"96",2005,"Druze","WestBekaa.Rachaya",16359
"97",2005,"Armenian Orthodox","WestBekaa.Rachaya",36
"98",2005,"Armenian Catholic","WestBekaa.Rachaya",22
"99",2005,"Alawite","WestBekaa.Rachaya",0
"342",2009,"Sunni","WestBekaa.Rachaya",57751
"343",2009,"Shia","WestBekaa.Rachaya",16997
"344",2009,"Minorities","WestBekaa.Rachaya",153
"345",2009,"Maronite","WestBekaa.Rachaya",9493
"346",2009,"Greek Orthodox","WestBekaa.Rachaya",9634
"347",2009,"Greek Catholic","WestBekaa.Rachaya",10055
"348",2009,"Evangelical","WestBekaa.Rachaya",380
"349",2009,"Druze","WestBekaa.Rachaya",17949
"350",2009,"Armenian Orthodox","WestBekaa.Rachaya",28
"351",2009,"Armenian Catholic","WestBekaa.Rachaya",46
"352",2009,"Alawite","WestBekaa.Rachaya",0
"595",2013,"Sunni","WestBekaa.Rachaya",62695
"596",2013,"Shia","WestBekaa.Rachaya",18763
"597",2013,"Minorities","WestBekaa.Rachaya",736
"598",2013,"Maronite","WestBekaa.Rachaya",10335
"599",2013,"Greek Orthodox","WestBekaa.Rachaya",9760
"600",2013,"Greek Catholic","WestBekaa.Rachaya",9487
"601",2013,"Evangelical","WestBekaa.Rachaya",415
"602",2013,"Druze","WestBekaa.Rachaya",19185
"603",2013,"Armenian Orthodox","WestBekaa.Rachaya",103
"604",2013,"Armenian Catholic","WestBekaa.Rachaya",64
"605",2013,"Alawite","WestBekaa.Rachaya",0
