"","Year","Confession","District","Population"
"1",2005,"Sunni","Zgharta",7203
"2",2005,"Shia","Zgharta",58
"3",2005,"Minorities","Zgharta",21
"4",2005,"Maronite","Zgharta",56883
"5",2005,"Greek Orthodox","Zgharta",2337
"6",2005,"Greek Catholic","Zgharta",157
"7",2005,"Evangelical","Zgharta",46
"8",2005,"Druze","Zgharta",0
"9",2005,"Armenian Orthodox","Zgharta",35
"10",2005,"Armenian Catholic","Zgharta",58
"11",2005,"Alawite","Zgharta",14
"254",2009,"Sunni","Zgharta",8312
"255",2009,"Shia","Zgharta",68
"256",2009,"Minorities","Zgharta",17
"257",2009,"Maronite","Zgharta",60086
"258",2009,"Greek Orthodox","Zgharta",2200
"259",2009,"Greek Catholic","Zgharta",179
"260",2009,"Evangelical","Zgharta",43
"261",2009,"Druze","Zgharta",0
"262",2009,"Armenian Orthodox","Zgharta",35
"263",2009,"Armenian Catholic","Zgharta",74
"264",2009,"Alawite","Zgharta",20
"507",2013,"Sunni","Zgharta",9054
"508",2013,"Shia","Zgharta",141
"509",2013,"Minorities","Zgharta",427
"510",2013,"Maronite","Zgharta",58749
"511",2013,"Greek Orthodox","Zgharta",4177
"512",2013,"Greek Catholic","Zgharta",822
"513",2013,"Evangelical","Zgharta",87
"514",2013,"Druze","Zgharta",7
"515",2013,"Armenian Orthodox","Zgharta",124
"516",2013,"Armenian Catholic","Zgharta",162
"517",2013,"Alawite","Zgharta",67
