ISO	NAME_0	ID_1	ID_2	GOVERNORATE	DISTRICT	invalid_votes
LBN	Lebanon	1	1	An Nabatiyah	Bent Jbayl	348
LBN	Lebanon	1	4	An Nabatiyah	Nabatiyeh	573
LBN	Lebanon	2	53	Beirut	Beirut-three	1382
LBN	Lebanon	3	10	Beqaa	Zahleh	489
LBN	Lebanon	4	11	Mount Lebanon	Aley	415
LBN	Lebanon	4	12	Mount Lebanon	Baabda	469
LBN	Lebanon	4	13	Mount Lebanon	Chouf	1899
LBN	Lebanon	4	14	Mount Lebanon	Jbayl	219
LBN	Lebanon	4	15	Mount Lebanon	Kesrouan	186
LBN	Lebanon	4	16	Mount Lebanon	Matn	500
LBN	Lebanon	5	17	North Lebanon	Akkar	321
LBN	Lebanon	5	18	North Lebanon	Batroun	124
LBN	Lebanon	5	19	North Lebanon	Bcharreh	102
LBN	Lebanon	5	20	North Lebanon	Koura	84
LBN	Lebanon	5	212	North Lebanon	Danniyeh	168
LBN	Lebanon	5	22	North Lebanon	Tripoli	829
LBN	Lebanon	6	24	South Lebanon	Jezzine	315
LBN	Lebanon	6	251	South Lebanon	Saida	1734
LBN	Lebanon	6	26	South Lebanon	Sour	595
LBN	Lebanon	6	252	South Lebanon	Zahrany	382
LBN	Lebanon	2	52	Beirut	Beirut-two	488
LBN	Lebanon	2	51	Beirut	Beirut-one	731
LBN	Lebanon	3	6	Beqaa	Baalbek-Hermel	526
LBN	Lebanon	3	7	Beqaa	WestBekaa-Rachaya	405
LBN	Lebanon	1	2	An Nabatiyah	Marjayoun-Hasbaya	390
LBN	Lebanon	5	211	North Lebanon	Minie	150
LBN	Lebanon	5	23	North Lebanon	Zgharta	170
