"number","agecat","governorate","gender","q20","q24","q37","geoid"
"1","45-54","الشمال","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1621"
"2","Under 25","البقاع","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1619"
"3","45-54","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"4","45-54","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"5","45-54","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","غيره، حدد ","1618"
"6","45-54","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"7","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1618"
"8","Under 25","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"9","35-44","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"10","35-44","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"11","55-64","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","غيره، حدد ","1618"
"12","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"13","25-34","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"14","NA","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"15","Under 25","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1618"
"16","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"17","65 and above","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1618"
"18","Under 25","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1618"
"19","45-54","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"20","35-44","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"21","35-44","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"22","Under 25","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"23","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"24","25-34","بيروت","Female","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","غيره، حدد ","1618"
"25","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"26","25-34","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"27","Under 25","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1618"
"28","45-54","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"29","Under 25","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"30","45-54","بيروت","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"31","45-54","بيروت","Female","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","NA","1618"
"32","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"33","Under 25","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"34","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"35","25-34","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"36","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"37","25-34","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"38","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"39","45-54","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا جواب","1618"
"40","35-44","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"41","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"42","35-44","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"43","NA","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"44","55-64","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"45","25-34","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"46","45-54","بيروت","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"47","45-54","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"48","25-34","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1618"
"49","35-44","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","لا اعرف","1618"
"50","Under 25","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"51","45-54","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"52","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1618"
"53","35-44","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"54","Under 25","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"55","25-34","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"56","Under 25","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"57","25-34","بيروت","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر صغرى","1618"
"58","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
