Districts,RegisteredVoter/District,ID,Sunni,Shiite,Druze,Alawite,Maronite,Greek Orthodox,Greek Catholic,Armenian Orthodox,Armenian Catholic,Evangelical,Minorities,Total,Voter Percentage,Seat Percentage,Index
Akkar,257521,17,3,,,1,1,2,,,,,,7,0.0732726145,0.0546875,0.7463566078
Minieh-Dinnieh,110004,21,3,,,,,,,,,,,3,0.0312995083,0.0234375,0.7488136795
Tripoli,212095,22,5,,,1,1,1,,,,,,8,0.0603475257,0.0625,1.035667979
Zghorta,74760,23,,,,,3,,,,,,,3,0.0212715105,0.0234375,1.1018258427
Bcharre,47960,19,,,,,2,,,,,,,2,0.0136460894,0.015625,1.1450166806
Koura,58774,20,,,,,,3,,,,,,3,0.0167230037,0.0234375,1.4015125736
Batroun,58348,18,,,,,2,,,,,,,2,0.0166017937,0.015625,0.9411633646
Jbeil,78823,14,,1,,,2,,,,,,,3,0.0224275585,0.0234375,1.0450312726
Keserwan,91335,15,,,,,5,,,,,,,5,0.0259876058,0.0390625,1.503120381
Metn,174634,16,,,,,4,2,1,1,,,,8,0.0496887235,0.0625,1.257830663
Baabda,158988,12,,2,1,,3,,,,,,,6,0.0452369571,0.046875,1.03621028
Aley,122367,11,,,2,,2,1,,,,,,5,0.0348171606,0.0390625,1.1219323837
Chouf,191801,13,2,,2,,3,,1,,,,,8,0.0545732609,0.0625,1.1452495034
Beirut-One,92201,51,,,,,1,1,1,1,1,,,5,0.0262340094,0.0390625,1.4890022885
Beirut-Two,105808,52,1,1,,,,,,2,,,,4,0.0301056178,0.03125,1.0380122486
Beirut-Three,268770,53,5,1,1,,,1,,,,1,1,10,0.0764732996,0.078125,1.0215983927
Baalbeck-Hermel,292160,6,2,6,,,1,,1,,,,,10,0.0831284713,0.078125,0.9398103779
Zahleh,166859,10,1,1,,,1,1,2,1,,,,7,0.0474764978,0.0546875,1.1518857239
WestBekaa-Rachaya,133901,7,2,1,1,,1,1,,,,,,6,0.038098937,0.046875,1.2303492879
Saida,58475,251,2,,,,,,,,,,,2,0.0166379291,0.015625,0.9391192817
Zahrany,104104,252,,2,,,,,1,,,,,3,0.0296207776,0.0234375,0.7912520172
Jezzine,57061,24,,,,,2,,1,,,,,3,0.0162356027,0.0234375,1.4435866879
Marjaayoun-Hasbaya,150491,2,1,2,1,,,1,,,,,,5,0.0428193003,0.0390625,0.9122638563
Nabatieh,135580,4,,3,,,,,,,,,,3,0.0385766639,0.0234375,0.6075564243
Tyre-Sour,174743,26,,4,,,,,,,,,,4,0.0497197373,0.03125,0.628523031
BintJbeil,136997,1,,3,,,,,,,,,,3,0.0389798438,0.0234375,0.6012722906
