Districts;RegisteredVoter/District;gov_id;Sunni;Shiite;Druze;Alawite;Maronite;Greek Orthodox;Greek Catholic;Armenian Orthodox;Armenian Catholic;Evangelical;Minorities;Total;Voter Percentage;Seat Percentage;Index
Akkar;276938;17;3;;;1;1;2;;;;;;7;0,076273495;0,0546875;0,716992189
Minieh-Dinnieh;110104;21;3;;;;;;;;;;;3;0,030324538;0,0234375;0,772888942
Tripoli;232940;22;5;;;1;1;1;;;;;;8;0,064155688;0,0625;0,974192657
Zghorta;77352;23;;;;;3;;;;;;;3;0,021304073;0,0234375;1,100141742
Bcharre;49084;19;;;;;2;;;;;;;2;0,013518579;0,015625;1,15581675
Koura;60169;20;;;;;;3;;;;;;3;0,016571579;0,0234375;1,414319069
Batroun;60039;18;;;;;2;;;;;;;2;0,016535775;0,015625;0,944920958
Jbeil;81494;14;;1;;;2;;;;;;;3;0,022444851;0,0234375;1,044226128
Keserwan;93540;15;;;;;5;;;;;;;5;0,025762527;0,0390625;1,516252656
Metn;178265;16;;;;;4;2;1;1;;;;8;0,049097251;0,0625;1,27298369
Baabda;164222;12;;2;1;;3;;;;;;;6;0,045229567;0,046875;1,036379584
Aley;125799;11;;;2;;2;1;;;;;;5;0,034647211;0,0390625;1,127435619
Chouf;199565;13;2;;2;;3;;1;;;;;8;0,054963638;0,0625;1,137115414
Beirut-One;92604;51;;;;;1;1;1;1;1;;;5;0,025504736;0,0390625;1,531578263
Beirut-Two;108574;52;1;1;;;;;;2;;;;4;0,02990315;0,03125;1,045040422
Beirut-Three;279905;53;5;1;1;;;1;;;;1;1;10;0,077090658;0,078125;1,01341722
Baalbeck-Hermel;257693;6;2;6;;;1;;1;;;;;10;0,07097309;0,078125;1,100769314
Zahleh;172555;10;1;1;;;1;1;2;1;;;;7;0,047524619;0,0546875;1,150719381
WestBekaa-Rachaya;140853;7;2;1;1;;1;1;;;;;;6;0,038793342;0,046875;1,208325901
Saida;61606;251;2;;;;;;;;;;;2;0,016967353;0,015625;0,920886105
Zahrany;111080;252;;2;;;;;1;;;;;3;0,030593345;0,0234375;0,766097984
Jezzine;59162;24;;;;;2;;1;;;;;3;0,016294234;0,0234375;1,43839228
Marjaayoun-Hasbaya;159757;2;1;2;1;;;1;;;;;;5;0,043999829;0,0390625;0,887787536
Nabatieh;144587;4;;3;;;;;;;;;;3;0,03982175;0,0234375;0,588560272
Tyre-Sour;186618;26;;4;;;;;;;;;;4;0,051397811;0,03125;0,608002544
BintJbeil;146350;1;;3;;;;;;;;;;3;0,040307311;0,0234375;0,581470202
