"","Year","Confession","District","Population"
"210",2005,"Sunni","Nabatiyeh",818
"211",2005,"Shia","Nabatiyeh",101960
"212",2005,"Minorities","Nabatiyeh",3
"213",2005,"Maronite","Nabatiyeh",3506
"214",2005,"Greek Orthodox","Nabatiyeh",36
"215",2005,"Greek Catholic","Nabatiyeh",1006
"216",2005,"Evangelical","Nabatiyeh",0
"217",2005,"Druze","Nabatiyeh",2
"218",2005,"Armenian Orthodox","Nabatiyeh",0
"219",2005,"Armenian Catholic","Nabatiyeh",9
"220",2005,"Alawite","Nabatiyeh",5
"463",2009,"Sunni","Nabatiyeh",1010
"464",2009,"Shia","Nabatiyeh",116044
"465",2009,"Minorities","Nabatiyeh",4
"466",2009,"Maronite","Nabatiyeh",3685
"467",2009,"Greek Orthodox","Nabatiyeh",43
"468",2009,"Greek Catholic","Nabatiyeh",1072
"469",2009,"Evangelical","Nabatiyeh",0
"470",2009,"Druze","Nabatiyeh",27
"471",2009,"Armenian Orthodox","Nabatiyeh",9
"472",2009,"Armenian Catholic","Nabatiyeh",9
"473",2009,"Alawite","Nabatiyeh",7
"716",2013,"Sunni","Nabatiyeh",2813
"717",2013,"Shia","Nabatiyeh",123989
"718",2013,"Minorities","Nabatiyeh",590
"719",2013,"Maronite","Nabatiyeh",3856
"720",2013,"Greek Orthodox","Nabatiyeh",216
"721",2013,"Greek Catholic","Nabatiyeh",1051
"722",2013,"Evangelical","Nabatiyeh",50
"723",2013,"Druze","Nabatiyeh",13
"724",2013,"Armenian Orthodox","Nabatiyeh",14
"725",2013,"Armenian Catholic","Nabatiyeh",15
"726",2013,"Alawite","Nabatiyeh",21
