"","Year","Confession","District","Population"
"188",2005,"Sunni","Tyr",11362
"189",2005,"Shia","Tyr",117991
"190",2005,"Minorities","Tyr",229
"191",2005,"Maronite","Tyr",2181
"192",2005,"Greek Orthodox","Tyr",498
"193",2005,"Greek Catholic","Tyr",6563
"194",2005,"Evangelical","Tyr",472
"195",2005,"Druze","Tyr",0
"196",2005,"Armenian Orthodox","Tyr",1061
"197",2005,"Armenian Catholic","Tyr",120
"198",2005,"Alawite","Tyr",0
"441",2009,"Sunni","Tyr",12352
"442",2009,"Shia","Tyr",129661
"443",2009,"Minorities","Tyr",227
"444",2009,"Maronite","Tyr",2194
"445",2009,"Greek Orthodox","Tyr",492
"446",2009,"Greek Catholic","Tyr",6574
"447",2009,"Evangelical","Tyr",273
"448",2009,"Druze","Tyr",3
"449",2009,"Armenian Orthodox","Tyr",1017
"450",2009,"Armenian Catholic","Tyr",263
"451",2009,"Alawite","Tyr",0
"694",2013,"Sunni","Tyr",14775
"695",2013,"Shia","Tyr",144087
"696",2013,"Minorities","Tyr",1083
"697",2013,"Maronite","Tyr",2738
"698",2013,"Greek Orthodox","Tyr",777
"699",2013,"Greek Catholic","Tyr",6062
"700",2013,"Evangelical","Tyr",304
"701",2013,"Druze","Tyr",19
"702",2013,"Armenian Orthodox","Tyr",1075
"703",2013,"Armenian Catholic","Tyr",152
"704",2013,"Alawite","Tyr",10
